originalContent,correctedSentence,changes,temp_lower
My wife needed to see a dentist on an emergency basis Saturday after bad fall the evening before.,My wife needed to see a dentist on an emergency basis on Saturday after a bad fall the evening before.,My wife needed to see a dentist on an emergency basis <b> on </b> Saturday after <b> a </b> bad fall the evening before.,my wife needed to see a dentist on an emergency basis <b> on </b> saturday after <b> a </b> bad fall the evening before.
We called morning and they were able take us that afternoon.,We called in the morning and they were able to take us that afternoon.,We called <b> in the </b> morning and they were able <b> to </b> take us that afternoon.,we called <b> in the </b> morning and they were able <b> to </b> take us that afternoon.
"The quality of care, both technically interpersonally, could not have been better.","The quality of care, both technically and interpersonally, could not have been better.","The quality of care, both technically <b> and </b> interpersonally, could not have been better.","the quality of care, both technically <b> and </b> interpersonally, could not have been better."
"I've going Smile Cliniq for past couple years, treatment, care advice from Chetan his team has faultless.","I've been going to Smile Cliniq for the past couple of years, and the treatment, care, and advice from Chetan and his team have been faultless.","I've <b> been </b> going <b> to </b> Smile Cliniq for <b> the </b> past couple <b> of </b> years, <b> and the </b> treatment, <b> care, </b>     +
 <b> and </b> advice from Chetan <b> and </b> his team <b> have been </b> faultless.","i've <b> been </b> going <b> to </b> smile cliniq for <b> the </b> past couple <b> of </b> years, <b> and the </b> treatment, <b> care, </b>     +
 <b> and </b> advice from chetan <b> and </b> his team <b> have been </b> faultless."
Yet again I blown away by Cliniq.,"Yet again, I was blown away by Cliniq.","Yet <b> again, </b>      +
 I <b> was </b> blown away by Cliniq.","yet <b> again, </b>      +
 i <b> was </b> blown away by cliniq."
"After my filling fell out Sunday night, was distraught.","After my filling fell out on Sunday night, I was distraught.","After my filling fell out <b> on </b> Sunday night, <b> I </b> was distraught.","after my filling fell out <b> on </b> sunday night, <b> i </b> was distraught."
But phoned in got appointment same morning.,But I phoned in and got an appointment for the same morning.,But <b> I </b> phoned in <b> and </b> got <b> an </b> appointment <b> for the </b> same morning.,but <b> i </b> phoned in <b> and </b> got <b> an </b> appointment <b> for the </b> same morning.
"Dr Kaher put me at ease, even though very anxious, did amazing job my...","Dr Kaher put me at ease, even though I was very anxious, and did an amazing job on my...","Dr Kaher put me at ease, even though <b> I was </b> very anxious, <b> and </b> did <b> an </b> amazing job <b> on </b> my...","dr kaher put me at ease, even though <b> i was </b> very anxious, <b> and </b> did <b> an </b> amazing job <b> on </b> my..."
What great dental clinic having issues with tooth Sarita Kotecha brilliant.,"What a great dental clinic, having issues with a tooth, Sarita Kotecha was brilliant.","What <b> a </b> great dental <b> clinic, </b>       +
 having issues with <b> a tooth, </b>      +
 Sarita Kotecha <b> was </b> brilliant.","what <b> a </b> great dental <b> clinic, </b>       +
 having issues with <b> a tooth, </b>      +
 sarita kotecha <b> was </b> brilliant."
Solved issue quickly explained everything way made actually enjoy .,"She solved the issue quickly, explained everything in a way that made me actually enjoy it.","<b> She </b> ^
 <b> solved </b> ^
 <b> the </b> issue <b> quickly, </b>        +
 explained everything <b> in a </b> way <b> that </b> made <b> me </b> actually enjoy <b> it. </b>","<b> she </b> ^
 <b> solved </b> ^
 <b> the </b> issue <b> quickly, </b>        +
 explained everything <b> in a </b> way <b> that </b> made <b> me </b> actually enjoy <b> it. </b>"
They squeeze last minute too.,They also squeeze in last-minute appointments.,They <b> also </b> squeeze <b> in last-minute appointments. </b>,they <b> also </b> squeeze <b> in last-minute appointments. </b>
recommend t...,I recommend them...,<b> I </b> recommend <b> them... </b>,<b> i </b> recommend <b> them... </b>
"The service so good Kotecha, recommended change dentist.","The service was so good with Kotecha, I would recommend changing dentists.","The service <b> was </b> so good <b> with </b> Kotecha, <b> I would </b>          --
 <b> recommend changing dentists. </b>        +
","the service <b> was </b> so good <b> with </b> kotecha, <b> i would </b>          --
 <b> recommend changing dentists. </b>        +
"
We've looking since moving London 2 12 years ago had received our previous substandard.,"We've been looking since moving to London 2 years ago, and had received substandard care previously.","We've <b> been </b> looking since moving <b> to </b> London 2 years <b> ago, </b>    +
 <b> and </b> had received            -
 <b> substandard care previously. </b>","we've <b> been </b> looking since moving <b> to </b> london 2 years <b> ago, </b>    +
 <b> and </b> had received            -
 <b> substandard care previously. </b>"
That all changed ...,That all changed...,"That all <b> changed... </b>        +++
","that all <b> changed... </b>        +++
"
I phobia many would shake over whenever there.,I have a phobia of many things that would make me shake whenever I'm there.,I <b> have a </b> phobia <b> of </b> many <b> things that </b> would <b> make me </b> shake whenever <b> I'm </b> there.,i <b> have a </b> phobia <b> of </b> many <b> things that </b> would <b> make me </b> shake whenever <b> i'm </b> there.
He calm patient understanding anxiety.,"He is calm, patient, and understanding of anxiety.","He <b> is calm, </b>     +
 <b> patient, </b>        +
 <b> and </b> understanding <b> of </b> anxiety.","he <b> is calm, </b>     +
 <b> patient, </b>        +
 <b> and </b> understanding <b> of </b> anxiety."
All staff are thoughtful friendly.,All the staff are thoughtful and friendly.,All <b> the </b> staff are thoughtful <b> and </b> friendly.,all <b> the </b> staff are thoughtful <b> and </b> friendly.
"don't anymore, which is wonderful.","I don't anymore, which is wonderful.","<b> I </b> don't anymore, which is wonderful.","<b> i </b> don't anymore, which is wonderful."
still have...,I still have...,<b> I </b> still have...,<b> i </b> still have...
"Fantastic service, professional top notch technology.","Fantastic service, professional, and top-notch technology.","Fantastic service, <b> professional, </b>             +
 <b> and top-notch </b> technology.","fantastic service, <b> professional, </b>             +
 <b> and top-notch </b> technology."
Very hygenic steady experienced hand.,"Very hygienic, steady, and experienced hands.","Very <b> hygienic, </b>    +    +
 <b> steady, </b>       +
 <b> and </b> experienced <b> hands. </b>     +
","very <b> hygienic, </b>    +    +
 <b> steady, </b>       +
 <b> and </b> experienced <b> hands. </b>     +
"
recommend.,I recommend.,<b> I </b> recommend.,<b> i </b> recommend.
Friendly helpful manager.,Friendly and helpful manager.,Friendly <b> and </b> helpful manager.,friendly <b> and </b> helpful manager.
"also friendly efficient,Gave lots about showing video.","Also friendly and efficient, gave lots of information about showing videos.","^
 <b> Also </b> ^
 friendly <b> and </b>           ----
 <b> efficient, gave </b> lots <b> of information </b> about showing <b> videos. </b>      +
","^
 <b> also </b> ^
 friendly <b> and </b>           ----
 <b> efficient, gave </b> lots <b> of information </b> about showing <b> videos. </b>      +
"
"Needed appointment, seen day Great staff","Needed an appointment, was seen the same day, great staff.","Needed <b> an </b> appointment, <b> was </b> seen <b> the same day, </b>    +
 ^
 <b> great </b> ^
 <b> staff. </b>      +
","needed <b> an </b> appointment, <b> was </b> seen <b> the same day, </b>    +
 ^
 <b> great </b> ^
 <b> staff. </b>      +
"
"Elena found smile friendly, nothing too much trouble.","Elena found the smile to be friendly, and nothing was too much trouble.","Elena found <b> the </b> smile <b> to be </b> friendly, <b> and </b> nothing <b> was </b> too much trouble.","elena found <b> the </b> smile <b> to be </b> friendly, <b> and </b> nothing <b> was </b> too much trouble."
Chet presented options selected course treatment took place year.,"Chet presented the options, and the selected course of treatment took place over a year.","Chet presented <b> the options, </b>        +
 <b> and the </b> selected course <b> of </b> treatment took place <b> over a </b> year.","chet presented <b> the options, </b>        +
 <b> and the </b> selected course <b> of </b> treatment took place <b> over a </b> year."
As it involved one front teeth some concerns always available ans...,"As it involved one of my front teeth, I had some concerns, but Chet was always available to answer...","As it involved one <b> of my </b> front <b> teeth, </b>      +
 <b> I had </b> some <b> concerns, </b>         +
 <b> but Chet was </b> always available <b> to answer... </b>    +++
","as it involved one <b> of my </b> front <b> teeth, </b>      +
 <b> i had </b> some <b> concerns, </b>         +
 <b> but chet was </b> always available <b> to answer... </b>    +++
"
"Irin Wu hereditary tendency get cavities, ensuing painful treatments, left scared visiting dentists.","Irin Wu has a hereditary tendency to get cavities, and the ensuing painful treatments left me scared of visiting dentists.","Irin Wu <b> has a </b> hereditary tendency <b> to </b> get cavities, <b> and the </b> ensuing painful           -
 <b> treatments </b> left <b> me </b> scared <b> of </b> visiting dentists.","irin wu <b> has a </b> hereditary tendency <b> to </b> get cavities, <b> and the </b> ensuing painful           -
 <b> treatments </b> left <b> me </b> scared <b> of </b> visiting dentists."
"Now, early thirties, avoid checks.","Now, in my early thirties, I avoid checks.","Now, <b> in my </b> early thirties, <b> I </b> avoid checks.","now, <b> in my </b> early thirties, <b> i </b> avoid checks."
gave up cavityfree teeth.,I gave up on having cavity-free teeth.,"<b> I </b> gave up <b> on having cavity-free </b>       +
 teeth.","<b> i </b> gave up <b> on having cavity-free </b>       +
 teeth."
"Two ago, forced find a...","Two years ago, I was forced to find a...","Two <b> years </b> ago, <b> I was </b> forced <b> to </b> find a...","two <b> years </b> ago, <b> i was </b> forced <b> to </b> find a..."
just finished year long lingual brace huge success.,I just finished a year-long lingual brace treatment with huge success.,<b> I </b> just finished <b> a year-long </b> lingual brace <b> treatment with </b> huge success.,<b> i </b> just finished <b> a year-long </b> lingual brace <b> treatment with </b> huge success.
I'm happy results welcoming fitting appointments when necessary and...,"I'm happy with the results, and the welcoming fitting appointments were necessary and...","I'm happy <b> with the results, </b>        +
 <b> and the </b> welcoming fitting appointments <b> were </b> necessary and...","i'm happy <b> with the results, </b>        +
 <b> and the </b> welcoming fitting appointments <b> were </b> necessary and..."
